Date,Aircraft Type,Aircraft Registration,Route of Flight From,Route of Flight Via,Route of Flight To,Duration of Flight,PIC,SIC,Cross Country,Dual Received,Solo,Part 121,Part 135,Day T-O,Day Ldg,Night T-O,Night Ldg,Approaches Instrument,Approaches Non-Instrument,Night,Actual Instrument,Simulated Instrument,Flight Simulator
2017-09-21,E170,N206JQ,KBOS,,KLGA,1:39,,1:39,1:39,,,,,1,,,1,,,1:17,1:39,,
2017-09-21,E170,N206JQ,KLGA,,KBOS,1:10,,1:10,1:10,,,,,,,1,1,,,1:10,1:10,,
2017-09-22,E170,N207JQ,KBOS,,KMKE,2:27,,2:27,2:27,,,,,1,,,1,,,1:23,2:27,,
2017-09-22,E170,N207JQ,KMKE,,KBOS,2:37,,2:37,2:37,,,,,,,1,1,,,2:37,2:37,,
2017-09-23,E170,N868RW,KBOS,,KLGA,1:17,,1:17,1:17,,,,,1,1,,,,,,1:17,,
2017-09-23,E170,N874RW,KLGA,,KIND,1:58,,1:58,1:58,,,,,1,1,,,,,,1:58,,
2017-09-24,E170,N207JQ,KIND,,KLGA,2:02,,2:02,2:02,,,,,1,1,,,,,,2:02,,
2017-09-24,E170,N207JQ,KLGA,,KORD,2:26,,2:26,2:26,,,,,1,1,,,,,,2:26,,
2017-09-26,E170,N732YX,KORD,,CYYZ,1:55,,1:55,1:55,,,,,1,1,,,,,,1:55,,
2017-09-26,E170,N732YX,CYYZ,,KORD,1:33,,1:33,1:33,,,,,1,1,,,,,,1:33,,
2017-09-28,E170,N644RW,KORD,,KIND,1:08,,1:08,1:08,,,,,1,,,1,,,0:04,1:08,,
2017-09-29,E170,N636RW,KIND,,KIAH,2:22,,2:22,2:22,,,,,1,1,,,,,,2:22,,
2017-09-29,E170,N636RW,KIAH,,KIND,2:03,,2:03,2:03,,,,,1,1,,,,,,2:03,,
2017-10-01,E170,N650RW,KORD,,KDTW,1:08,,1:08,1:08,,,,,1,1,,,,,,1:08,,
2017-10-01,E170,N650RW,KDTW,,KEWR,2:21,,2:21,2:21,,,,,1,,,1,,,1:46,2:21,,
2017-10-01,E170,N863RW,KEWR,,KDTW,1:53,,1:53,1:53,,,,,,,1,1,,,1:53,1:53,,
2017-10-02,E170,N724YX,KDTW,,KEWR,1:45,,1:45,1:45,,,,,1,,,1,,,0:15,1:45,,
2017-10-02,E170,N740YX,KEWR,,KDFW,3:36,,3:36,3:36,,,,,,,1,1,,,3:36,3:36,,
2017-10-03,E170,N863RW,KIAH,,KABQ,2:39,,2:39,2:39,,,,,1,1,,,,,,2:39,,
2017-10-03,E170,N863RW,KABQ,,KIAH,2:03,,2:03,2:03,,,,,,,1,1,,,2:03,2:03,,
2017-10-03,E170,N863RW,KIAH,,KBTR,0:58,,0:58,0:58,,,,,,,1,1,,,0:58,0:58,,
2017-10-04,E170,N645RW,KIAH,,KOKC,1:29,,1:29,1:29,,,,,1,1,,,,,,1:29,,
2017-10-04,E170,N645RW,KOKC,,KORD,2:13,,2:13,2:13,,,,,1,,,1,,,0:46,2:13,,
2017-10-06,E170,N862RW,KORD,,KCLT,2:11,,2:11,2:11,,,,,1,1,,,,,,2:11,,
2017-10-06,E170,N646RW,KCLT,,KORD,1:52,,1:52,1:52,,,,,1,1,,,,,,1:52,,
2017-10-13,E170,N722YX,KEWR,,KCMH,1:57,,1:57,1:57,,,,,,,1,1,,,1:57,1:57,,
2017-10-13,E170,N656RW,KORD,,KMEM,1:40,,1:40,1:40,,,,,1,1,,,,,,1:40,,
2017-10-13,E170,N656RW,KMEM,,KEWR,2:30,,2:30,2:30,,,,,1,1,,,,,,2:30,,
2017-10-14,E170,N741YX,KEWR,,KCLT,1:41,,1:41,1:41,,,,,,,1,1,,,1:41,1:41,,
2017-10-14,E170,N646RW,KCMH,,KEWR,1:33,,1:33,1:33,,,,,1,1,,,,,,1:33,,
2017-10-15,E170,N656RW,KCLT,,KEWR,1:49,,1:49,1:49,,,,,1,1,,,,,,1:49,,
2017-10-15,E170,N653RW,KEWR,,KIND,2:13,,2:13,2:13,,,,,,,1,1,,,2:13,2:13,,
2017-10-16,E170,N741YX,KORD,,CYYZ,2:37,,2:37,2:37,,,,,1,1,,,,,,,,
2017-10-16,E170,N741YX,CYYZ,,KORD,0:38,,0:38,0:38,,,,,1,1,,,,,,,,
2017-10-16,E170,N657RW,KIND,,KORD,0:57,,0:57,0:57,,,,,1,1,,,,,,0:57,,
2017-10-17,E170,N732YX,KORD,,KCMH,1:08,,1:08,1:08,,,,,1,1,,,,,,1:08,,
2017-10-17,E170,N732YX,KCMH,,KORD,1:12,,1:12,1:12,,,,,1,,,1,,,0:59,1:12,,
2017-10-19,E170,N728YX,KORD,,CYYZ,1:37,,1:37,1:37,,,,,1,1,,,,,,1:37,,
2017-10-19,E170,N748YX,CYYZ,,KORD,1:44,,1:44,1:44,,,,,1,1,,,,,,1:44,,
2017-10-20,E170,N882RW,KLGA,,KORD,2:30,,2:30,2:30,,,,,1,1,,,,,,2:30,,
2017-10-20,E170,N210JQ,KORD,,KLGA,2:08,,2:08,2:08,,,,,1,1,,,,,,2:08,,
2017-10-22,E170,N209JQ,KORD,,KLGA,2:05,,2:05,2:05,,,,,1,1,,,,,,2:05,,
2017-10-22,E170,N214JQ,KLGA,,KCMH,1:44,,1:44,1:44,,,,,,,1,1,,,1:44,1:44,,
2017-11-01,E170,N745YX,KORD,,KCLT,2:23,,2:23,2:23,,,,,1,1,,,,,,2:23,,
2017-11-01,E170,N644RW,KCLT,,KIAH,2:48,,2:48,2:48,,,,,1,,,1,,,2:27,2:48,,
2017-11-01,E170,N644RW,KIAH,,KHRL,1:10,,1:10,1:10,,,,,,,1,1,,,1:09,1:10,,
2017-11-02,E170,N646RW,KHRL,,KIAH,1:19,,1:19,1:19,,,,,1,1,,,,,,1:19,,
2017-11-02,E170,N646RW,KIAH,,KBHM,1:42,,1:42,1:42,,,,,1,1,,,,,,1:42,,
2017-11-02,E170,N646RW,KBHM,,KIAH,1:57,,1:57,1:57,,,,,1,1,,,,,,1:57,,
2017-11-02,E170,N646RW,KIAH,,KSDF,2:04,,2:04,2:04,,,,,,,1,1,,,2:04,2:04,,
2017-11-03,E170,N730YX,KSDF,,KEWR,1:57,,1:57,1:57,,,,,,,1,1,,,1:57,1:57,,
2017-11-03,E170,N730YX,KEWR,,KDTW,2:16,,2:16,2:16,,,,,,,1,1,,,2:16,2:16,,
2017-11-04,E170,N722YX,KDTW,,KEWR,1:38,,1:38,1:38,,,,,1,,,1,,,0:42,1:38,,
2017-11-04,E170,N722YX,KEWR,,KORD,2:20,,2:20,2:20,,,,,,,1,1,,,2:20,2:20,,
